
---------- Begin Simulation Statistics ----------
simSeconds                                   0.112527                       # Number of seconds simulated (Second)
simTicks                                 112527461004                       # Number of ticks simulated (Tick)
finalTick                                112527461004                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1477.22                       # Real time elapsed on the host (Second)
hostTickRate                                 76174928                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8665116                       # Number of bytes of host memory used (Byte)
simInsts                                    261123595                       # Number of instructions simulated (Count)
simOps                                      312340928                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   176766                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     211438                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        236402230                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.904524                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.105553                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       335975805                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   177457                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      342666861                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 355018                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23812333                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19884512                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1315                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           236011994                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.451904                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.262990                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  69775676     29.56%     29.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  58771559     24.90%     54.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  56230829     23.83%     78.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  35920063     15.22%     93.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13001824      5.51%     99.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2216033      0.94%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     86991      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      8104      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       915      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             236011994                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6526029     18.03%     18.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 377356      1.04%     19.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   14529      0.04%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                  521      0.00%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     19.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1913224      5.29%     24.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              980840      2.71%     27.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 731571      2.02%     29.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                 273458      0.76%     29.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     29.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                961122      2.66%     32.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                 72878      0.20%     32.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc             496104      1.37%     34.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     34.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift               256593      0.71%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     34.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     34.83% # attempts to use FU when none available (Count)
