
---------- Begin Simulation Statistics ----------
simSeconds                                   0.139557                       # Number of seconds simulated (Second)
simTicks                                 139557280940                       # Number of ticks simulated (Tick)
finalTick                                139557280940                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1661.83                       # Real time elapsed on the host (Second)
hostTickRate                                 83977919                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8717448                       # Number of bytes of host memory used (Byte)
simInsts                                    314287483                       # Number of instructions simulated (Count)
simOps                                      402599067                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189121                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     242262                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        293187566                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.932435                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.072461                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       426950967                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    10417                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      422639615                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 129941                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24362316                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16439845                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2822                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           292619370                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.444332                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.251844                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  88188446     30.14%     30.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  63704232     21.77%     51.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  86095706     29.42%     81.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  35982562     12.30%     93.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14848057      5.07%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3426754      1.17%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    350114      0.12%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     18389      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      5110      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             292619370                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4478631     14.34%     14.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  73442      0.24%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1201      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     5      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   233      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     14.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    7      0.00%     14.57% # attempts to use FU when none available (Count)
