
---------- Begin Simulation Statistics ----------
simSeconds                                   0.219304                       # Number of seconds simulated (Second)
simTicks                                 219304096592                       # Number of ticks simulated (Tick)
finalTick                                219304096592                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1961.78                       # Real time elapsed on the host (Second)
hostTickRate                                111788388                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8736272                       # Number of bytes of host memory used (Byte)
simInsts                                    388181042                       # Number of instructions simulated (Count)
simOps                                      421914038                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   197872                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     215067                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        460722893                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.184651                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.844131                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       511877892                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   541464                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      490899337                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 288891                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             90505317                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          56855105                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 410                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           460489124                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.066039                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.309257                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 220894034     47.97%     47.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  95347444     20.71%     68.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  75934439     16.49%     85.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  40934317      8.89%     94.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  18053291      3.92%     97.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7633231      1.66%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1375329      0.30%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    287541      0.06%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     29498      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             460489124                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 362205      1.39%      1.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   30901      0.12%      1.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 5      0.00%      1.51% # attempts to use FU when none available (Count)
