
---------- Begin Simulation Statistics ----------
simSeconds                                   0.219425                       # Number of seconds simulated (Second)
simTicks                                 219424898252                       # Number of ticks simulated (Tick)
finalTick                                219424898252                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1954.16                       # Real time elapsed on the host (Second)
hostTickRate                                112285891                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8736272                       # Number of bytes of host memory used (Byte)
simInsts                                    388181042                       # Number of instructions simulated (Count)
simOps                                      421914038                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   198643                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     215905                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        460976678                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.185303                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.843666                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       512600121                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   541444                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      489748443                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 436053                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             91227526                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          57479727                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 390                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           460741903                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.062956                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.234614                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 214166777     46.48%     46.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  97440060     21.15%     67.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  78439004     17.02%     84.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  52777559     11.45%     96.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13079033      2.84%     98.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4257941      0.92%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    578844      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2683      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             460741903                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                11189456     30.39%     30.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 634601      1.72%     32.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   91354      0.25%     32.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     32.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     32.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     32.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     32.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 5      0.00%     32.36% # attempts to use FU when none available (Count)
