
---------- Begin Simulation Statistics ----------
simSeconds                                   0.135569                       # Number of seconds simulated (Second)
simTicks                                 135569410536                       # Number of ticks simulated (Tick)
finalTick                                135569410536                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1351.73                       # Real time elapsed on the host (Second)
hostTickRate                                100293321                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8620116                       # Number of bytes of host memory used (Byte)
simInsts                                    238353225                       # Number of instructions simulated (Count)
simOps                                      241295888                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   176332                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     178509                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        284809687                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.194268                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.837333                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252306821                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      540                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      248118942                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  14129                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11011472                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11965750                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 175                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           284426329                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.872349                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.015451                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 126171111     44.36%     44.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  97550631     34.30%     78.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  40675440     14.30%     92.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  13379971      4.70%     97.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4334008      1.52%     99.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2155566      0.76%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    153757      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5646      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       199      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             284426329                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8343      0.25%      0.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   5062      0.15%      0.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      54      0.00%      0.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 98060      2.96%      3.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                518090     15.63%     19.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 56665      1.71%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               155667      4.70%     25.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             98029      2.96%     28.36% # attempts to use FU when none available (Count)
